trace,entry,approach,lines,tier,found_by,RA_verdict,RA_note
01,K23,formula AM = 2R sin(A/2),482-482,firm,annotator 1,,
02,K1,identify Gamma as an excircle,3-3,borderline,annotator 2,,
02,K2,identify circle BIC as the A-mixtilinear incircle,5-5,borderline,annotator 2,,
02,K3,locate center of circle BIC via angle-BIC bisector / diameter,19-21,borderline,annotator 2,,
02,K4,"intersect EF with AB, AC",25-25,borderline,annotator 2,,
02,K5,"use circle through incircle touch points D,E,F",27-27,borderline,annotator 2,,
02,K6,"AI bisects angle BIC (E,F symmetric about AI)",71-75,firm,annotator 2,,
02,K7,compute circumcenter O1 of BIC in coordinates (perpendicular bisectors / AI meets perp bisector of BC),93-119;139-285,firm,annotator 2,,
02,K8,I as excenter of triangle BIC,121-121,borderline,annotator 2,,
02,K9,"match cubic root to a nice radical (2sqrt10, sqrt40, 2+sqrt20, 3+sqrt13, 4+sqrt5, 6+sqrt12)",548-564;714-714,firm,annotator 2,,
02,K10,alternative interpretation of the problem (radius meaning / external tangency),566-570;716-722,borderline,annotator 2,,
02,K11,solve the cubic exactly (depressed cubic / cubic formula),588-592;738-738,borderline,annotator 2,,
02,K12,"guessed integer answer BC = 6 (or 5, 7)",730-734,borderline,annotator 2,,
03,K1,"a chain component whose Fibonacci factor contains 101 (F_50, 48 vertices)",179-325;361-363;389-393;417-421;444-446;468-468,firm,annotator 1,,
03,K2,interacting / closely spaced components to escape pure Fibonacci products,343-351;381-383;519-521,firm,annotator 1,,
03,K3,consecutive pairs mixed with isolated vertices (component with exactly 101 matchings),353-355;434-434;466-466;470-515,firm,annotator 1,,
03,K4,"alternative readings of the cousin definition (pairing not a bijection, T = S, empty set)",357-357;395-397;436-442,borderline,annotator 1,,
03,K5,brute-force listing of Fibonacci products,523-523,borderline,annotator 1,,
03,K6,guessed answer 49,533-533,borderline,annotator 1,,
05,K1,Equilateral arrangement of the three centers,29-37;57-77,firm,both,,
05,K2,"Center-based parametrization (place centers A,B,C on radius-9 circle, compute common tangents of each pair)",41-51;99-115;246-287,firm,both,,
05,K3,Mutually tangent small circles configuration,83-83,borderline,both,,
05,K4,Recall the problem from memory / known competition solution,117-119;226-226,borderline,both,,
05,K5,Coordinates with s1 as the line y = 1,197-198,borderline,both,,
05,K6,Chain / clustered arrangement of the small circles,228-230;240-240,borderline,both,,
05,K7,Interpretation: two chords tangent to the same pair of circles,232-234,borderline,both,,
05,K8,"Work backwards from a guessed nice answer (h = 5, 6, 7, or diameter)",236-236,borderline,both,,
05,K9,"Assign the A-B tangent chord to distance 1 (sin alpha = 1/3, A=(6sqrt2,3))",256-273,firm,both,,
05,K10,Non-symmetric configuration / different pairing of the two equal chords,482-486;660-664,borderline,both,,
06,K1,recalled AIME answer 63,1-1;9-9;23-23;70-70;264-266;296-296;304-316;335-335;345-345;373-381;395-399;417-429;444-446;485-487;507-509;537-537;563-563;585-595;609-611;623-627;651-653;667-669;695-697;723-727;757-761,firm,annotator 2,,
06,K2,count cousins by inclusion-exclusion over sign functions,13-13,borderline,annotator 2,,
06,K3,"small |S| near 2^12 = 4096 (answer 12, or 13)",19-21;70-70;669-675,firm,annotator 2,,
07,K1,"literal reading: doubling after debt-free is trivial (0 doubles to 0), process is a plain decreasing walk",1-1;3-3;9-11;20-20;26-30;36-36;40-40;52-56;62-62;70-72,firm,both,,
07,K2,reading where 'remaining debt' means some other debt (pre-payment debt or debt owed elsewhere),5-5;34-34;42-42,borderline,annotator 1,,
07,K3,typo reading: doubling applies if debt never becomes nonpositive,13-13,borderline,both,,
07,K4,reading where the leftover nonpositive/overpaid debt gets doubled after becoming debt-free,18-18;24-24;44-50;58-60;64-64,firm,both,,
07,K5,recall the problem from memory / known source,22-22;38-38;52-52,borderline,both,,
07,K6,reading where the amount paid is doubled,66-66,borderline/firm,both,,
07,K7,reading where heads gains money / tails changes debt differently,68-68,borderline,both,,
07,K8,Interpretation: heads gains money rather than paying,68-68,borderline,annotator 2,,
07,K9,"Enumerating debt values along explicit coin-flip paths (D1, D2 cases)",121-136,borderline,annotator 2,,
07,K10,functional equation p(D) = (p(2D-2)+p(2D-4))/2 with q = 1-p recursion,194-247,firm,both,,
08,K1,power of point of B wrt omega / second intersection of circle BIC with AB,91-105,borderline/firm,both,,
08,K2,find circumcenter O1 of BIC via perpendicular bisector of IB,106-110,borderline,both,,
08,K3,"solve for u, v by multiplying by b and c and subtracting (half-angle expressions for IB, IC)",113-139,firm,both,,
08,K4,"treating the y-axis (through I) as the external angle bisector, center of Gamma at (0,y0)",209-298;301-315;442-458,firm,annotator 2,,
08,K5,"candidate C = 90 degrees, a = 2*sqrt(6)",605-607;641-781;1329-1354;1498-1498,firm,both,,
08,K6,guess phi = 45 degrees - alpha,1199-1201,borderline,both,,
08,K7,candidate a = 6,1422-1423;1447-1450;1490-1491;1510-1511;1524-1526;1533-1575,firm,both,,
08,K8,exact closed form for root of 4v^3-8v^2-4v-1 via depressed-cubic shift,1457-1460;1520-1523,borderline,both,,
08,K9,"other integer candidates for a (8, 9, 10, 11, 7, 5, 4, 3)",1492-1497;1512-1518;1527-1530,firm,annotator 1,,
09,K1,swapped vertex labels (A' and C' images mixed up),127-127;213-213;684-684,borderline,both,,
09,K2,reinterpret 'B' in the side condition as B',143-143;287-289,borderline,both,,
09,K3,side condition relative to line BC (or a different condition),205-205;557-557;722-724,borderline,both,,
09,K4,"look for another rotation (theta+pi, 90 degrees, other angles) satisfying the side condition",221-231;553-553;654-656;980-990,borderline/firm,both,,
09,K5,area independent of which rotation; compute area for rotation 2,297-297;429-529;858-897,firm,both,,
09,K6,"shoelace on the literal vertex order A, A', C, C', B, B' (area 155.7, answer 156)",299-322;726-750;790-796;820-846,firm,both,,
09,K7,"Rotation 2 configuration with angle-sorted order (area 155.74, then 159.49)",429-529;858-897,borderline,annotator 2,,
09,K8,take hexagon as the convex hull of the six points,808-820,borderline,both,,
09,K9,"hexagon as union of the two triangles (disjoint gives 168; order A,C,C',A',B',B gives 81.375)",899-905;941-976;978-980,firm,both,,
09,K10,"hull-like order A, C, C', A', B, B' (area 163.76)",907-937,firm,both,,
09,K11,"decompose hexagon into triangles AB'C', AC'B'",939-939,borderline,both,,
10,K1,"BC direction obtained by rotating the AB (upward) direction by 45 deg, C=(+-14, b+14)",35-71,borderline/firm,both,,
10,K2,Acute-dot sign restriction d > b-14 giving unique candidate AB = 15,91-153;165-316,firm,both,,
10,K3,"Rationality argument: integer u requires s/t rational, so only r=1 (AB in {21,49})",762-826;1206-1218,firm,both,,
10,K4,Every integer u has a real root d; search numerically for u with area divisible by 16,884-925;976-1029;1220-1230;1388-1404,firm,both,,
10,K5,"Solve exactly for d at u=8 (t-substitution, factor the quartic)",926-968,firm,both,,
10,K6,Substitute u(d) into the area formula to get area in d alone,1023-1025,borderline,annotator 1,,
10,K7,"Down-left modular argument treating d as a residue mod 16 (forces d=1, u=11)",1081-1146,borderline/firm,both,,
10,K8,Parametrize s=(16m-u-2)/3 and substitute into the quartic for each m,1270-1386,borderline/firm,both,,
10,K9,self-intersecting pentagon interpretation,1530-1530;1564-1564,borderline,annotator 2,,
10,K10,angle at B read as an external/reflex angle,1534-1534;1562-1562,borderline,annotator 2,,
11,K1,A_i = set of divisors of i,16-17,borderline,both,,
11,K2,vector / tuple-indexed construction,20-20;24-24,borderline,both,,
11,K3,"elements indexed by prime powers (p,e), A_i = {(p,e): p^e | i}",25-29,firm,both,,
11,K4,B_k = A_k minus union of A_d for proper divisors d,36-36,borderline,both,,
11,K5,"candidate: every M_d at its lower bound d (A_d = {1..d}, answer sigma(250))",84-101;180-191;284-296;319-321,firm,both,,
11,K6,bipartite matching / flow formulation,304-304,borderline,annotator 1,,
11,K7,exchange argument: nested up-sets for increasing x,363-374,borderline,both,,
11,K8,heuristic: give smallest numbers to nodes in the most buckets (count descending),396-411;544-568;689-743;912-939,firm,both,,
11,K9,forward greedy: assign each x to the node with the smallest current increase (fewest buckets first),485-501;590-607;619-687;795-837,firm,both,,
11,K10,"reverse greedy: assign 250 downward, largest numbers to the fewest-bucket nodes",844-910,borderline,both,,
11,K11,weighted completion-time scheduling analogy,941-950,borderline,annotator 1,,
11,K12,right-to-left greedy minimizing S(v)*|U_v union U_P| at each step,1247-1321;1481-1513,firm,both,,
12,K1,"locating circumcenter O1 of BIC via perpendicular bisectors of IB, IC",8-8;19-25,borderline,annotator 2,,
12,K2,power-of-point relation for O_Gamma wrt omega and (BIC),87-89,borderline,annotator 1,,
12,K3,search for an integer/rational root of the Case 1 cubic,185-189;377-384;533-542;851-854;1245-1249;1391-1396;1655-1661,firm,both,,
12,K4,"fractional candidate values a = 13/2, 25/4, 20/3, 24/5",968-974;1341-1345,firm,annotator 1,,
12,K5,candidate a = 11 for the x2 = -3r/sin(A/2) case,983-986,borderline,annotator 1,,
12,K6,factor the cubic as (a-6)(a^2+12a+4),1231-1238,firm,annotator 1,,
12,K7,candidate a = 2*sqrt(19),1384-1385,firm,annotator 1,,
12,K8,"solve the cubic exactly (shift to depressed cubic, discriminant, trigonometric roots)",1537-1558;1620-1626,firm,annotator 1,,
12,K9,hypothesis R1 = R (circle BIC radius equals circumradius),1663-1676;1779-1780,firm,both,,
12,K10,reverse-engineer a nice root by altering the cubic's constant/signs (a = 12 via sign flip),1678-1731,firm,both,,
12,K11,radical guesses sqrt(40) and 2*sqrt(13),1777-1777;1783-1784,borderline,both,,
14,K1,"other eliminations, e.g. combining (1) and (3)",29-33,borderline,annotator 2,,
15,K1,7 values as a 4+3 split of distinct roots between the two quartics f and g,40-41,borderline,annotator 1,,
16,K1,conjecture that A lies on the circumcircle of BIC,58-65,borderline/firm,both,,
16,K2,power of A wrt circle BIC (via second intersection B' on AB / chord along AI),67-68;70-75;78-79;128-133;137-138,firm,both,,
16,K3,inversion centered at A with radius sqrt(AB*AC),69-69,borderline,both,,
16,K4,known fact: reflection of I over BC lies on circumcircle of ABC,76-77,borderline,annotator 1,,
16,K5,vector setup with I at origin to test whether IO1 is parallel to AI,91-126,firm,both,,
16,K6,guess that circle BIC is orthogonal to the incircle,134-135,borderline,both,,
16,K7,reflect O1 over BC,144-144,borderline,annotator 1,,
16,K8,"express sin B / sin C = 7/5 in terms of u, v",283-284;702-704,borderline,annotator 1,,
16,K9,identity (b^2-c^2)/(b^2+c^2) via sines,285-287,borderline,annotator 1,,
16,K10,"find a rational/integer root of the Case 1 cubic (in x, then in z = a^2 - 4)",318-348;424-442;497-521;580-645;805-868;913-915,firm,both,,
16,K11,Gamma as the A-mixtilinear incircle,874-875;1218-1225;1420-1422,borderline/firm,both,,
16,K12,Gamma as incircle of the excentral triangle,1307-1309,borderline,both,,
16,K13,"Gamma is the A-excircle, candidate a = 4",1374-1418,firm,both,,
16,K14,"integer candidates a = 7, 8, 2, 10, 5",1425-1429;1540-1546,firm,annotator 1,,
16,K15,candidate a = sqrt(26),1450-1469;1509-1532;1595-1596,firm,both,,
16,K16,Gamma as B- or C-excircle,1567-1574,borderline,annotator 1,,
16,K17,Gamma is the circumcircle of BIC,1589-1593,borderline,both,,
18,K1,recalled answer of the 9-gon AIME analogue (244 / 488) as target,1-1;11-11;19-19;29-31;119-119;153-157,borderline,annotator 2,,
18,K2,"general-position dichotomy formula 2*sum C(19,k) = 2320",5-7,firm,annotator 2,,
18,K3,hyperplane arrangement in the parameter space of affine functions,39-39,borderline,annotator 2,,
18,K4,"view the cutting plane as a graph over (x,y) via projection",41-41,borderline,annotator 2,,
18,K5,"count M as cyclic 3-block labelings (X,Y,Z consecutive arcs, Y an arc): 993, total 2*993-92 = 1894",75-119;121-221,firm,annotator 2,,
18,K6,small cases to determine the correct count,157-157,borderline,annotator 2,,
19,K1,"coordinate bash with M at origin, P,Q on rays at angle theta (unknowns t, s, theta)",5-47;124-169;290-292,firm,annotator 2,,
19,K2,coordinates with A at origin and bisector on x-axis,53-106,firm,annotator 2,,
19,K3,guessed answer BP = 2,108-108,borderline,annotator 2,,
19,K4,"law of sines in triangles PMB, QMC, ABM assuming AM relates to theta",110-122,firm,annotator 2,,
19,K5,reflection of B / line MB across MP,132-132;171-171,borderline,annotator 2,,
19,K6,angle-chase in triangle APM via a 'known fact',134-134,borderline,annotator 2,,
19,K7,angle chase in cyclic APMQ for extra constraint (led to AB = AC),177-290,firm,annotator 2,,
19,K8,"power of a point of B, C w.r.t. circle APMQ",294-302;494-508;542-542,borderline,annotator 2,,
19,K9,Ptolemy on APMQ,304-307;512-514,firm,annotator 2,,
19,K10,"law-of-sines trig system in angles theta, B, alpha1, alpha2",309-492;520-540,firm,annotator 2,,
19,K11,locate X via inscribed angles (AX is angle bisector) and orientation analysis,516-516;544-548;560-601,firm,annotator 2,,
20,K1,identify center of (BIC) from recalled facts (arc midpoint / excenter I_A),9-9;17-33,firm,annotator 2,,
20,K2,"coordinate bash (A at origin, AB on x-axis) to get E,F",11-11;117-145,borderline,annotator 2,,
20,K3,view Gamma as homothety image of incircle centered at I,65-65;89-91;943-943,borderline,annotator 2,,
20,K4,O' (reflection of A over I) lies on circle (BIC),71-73;101-113;875-907;955-955,firm,annotator 2,,
20,K5,power of point O' with respect to omega / (BIC),75-87;115-115,firm,annotator 2,,
20,K6,equate signed distances from I to common chord EF (omega-Gamma vs omega-(BIC)),145-873;929-941,firm,annotator 2,,
20,K7,square and clear denominators to get polynomial in a,379-379;425-467,firm,annotator 2,,
20,K8,guessed answer BC = 9,909-927;951-955,borderline,annotator 2,,
20,K9,recall a known theorem (exsimilicenter / Miquel point),967-969,borderline,annotator 2,,
